date,timestamp,energy_consumption_kwh,voltage,current,power_factor,tariff_rate,temperature,occupancy,device_name
2021-01-01,2021-01-01 00:00:00,24.21,231.464,42.961,0.859,0.1089,24.595,0.0,HVAC
2021-01-01,2021-01-01 01:00:00,22.454,219.702,57.721,0.842,0.1038,22.578,0.0,Pumps
2021-01-01,2021-01-01 02:00:00,23.532,226.922,57.748,0.88,0.1116,25.263,4.0,Elevator
2021-01-01,2021-01-01 03:00:00,23.994,223.092,51.005,0.888,0.11,25.548,0.0,Production Line
2021-01-01,2021-01-01 04:00:00,25.959,240.886,60.053,0.885,0.1053,21.211,4.0,Lighting
2021-01-01,2021-01-01 05:00:00,26.554,223.483,52.047,0.82,0.1071,22.184,3.0,HVAC
2021-01-01,2021-01-01 06:00:00,27.373,221.262,53.844,0.88,0.1113,24.329,27.0,Pumps
2021-01-01,2021-01-01 07:00:00,28.503,215.533,55.758,0.901,0.1041,23.663,46.0,Compressor
2021-01-01,2021-01-01 08:00:00,26.915,223.337,52.123,0.873,0.107,24.112,57.0,Server Rack
2021-01-01,2021-01-01 09:00:00,25.997,228.553,55.594,0.885,0.1225,22.858,79.0,Lighting
2021-01-01,2021-01-01 10:00:00,25.96,232.893,55.64,0.909,0.1064,25.457,87.0,Production Line
2021-01-01,2021-01-01 11:00:00,24.091,223.184,45.529,0.838,0.1037,25.304,89.0,Refrigeration
2021-01-01,2021-01-01 12:00:00,25.052,233.272,48.379,0.866,0.1195,24.237,95.0,Pumps
2021-01-01,2021-01-01 13:00:00,22.439,227.713,42.761,0.837,0.1067,25.828,89.0,Lighting
2021-01-01,2021-01-01 14:00:00,19.794,225.816,44.879,0.86,0.1076,24.839,92.0,Pumps
2021-01-01,2021-01-01 15:00:00,20.552,228.778,43.297,0.84,0.1048,22.849,72.0,Server Rack
2021-01-01,2021-01-01 16:00:00,16.789,234.379,39.033,0.872,0.1064,24.691,52.0,Lighting
2021-01-01,2021-01-01 17:00:00,17.088,228.23,39.747,0.92,0.1526,22.699,43.0,HVAC
2021-01-01,2021-01-01 18:00:00,18.674,223.013,40.33,0.862,0.1573,25.455,23.0,Pumps
2021-01-01,2021-01-01 19:00:00,15.265,229.909,38.083,0.874,0.1541,24.063,9.0,HVAC
2021-01-01,2021-01-01 20:00:00,17.21,229.837,35.714,0.915,0.1545,23.86,3.0,Elevator
2021-01-01,2021-01-01 21:00:00,15.863,227.144,44.826,0.848,0.1534,23.116,0.0,Compressor
2021-01-01,2021-01-01 22:00:00,18.186,232.597,46.459,0.858,0.1529,25.971,3.0,Compressor
2021-01-01,2021-01-01 23:00:00,19.856,217.699,48.24,0.869,0.1116,23.906,0.0,Lighting
2021-01-02,2021-01-02 00:00:00,20.779,229.607,44.823,0.858,0.1154,23.633,0.0,Server Rack
